"Subscribe","Abonnieren"
"Send","Übermitteln"
"Insert your email address","Geben Sie Ihre E-Mail-Adresse ein"
"I accept the ","Ich akzeptiere die "
"privacy conditions","Datenschutzbestimmungen"
" and marketing usage."," und die Datenverarbeitung für Marketing- und Profilierungszwecke"
"Cerca tra più di 39.000 prodotti di oltre 2.000 brand","Suchen Sie unter 5.000 Produkten"
"Buy","In Den Warenkorb"
"Secure Payments","Sichere zahlungen"
"Fast delivery","Schneller versand"
"Via Marco Polo 190 - 55049 Viareggio (LU) - Numero Verde: <a href=""tel:800953333"">800 953 333</a> - P.IVA 02072180504 Divisione e-commerce<br>farmae.it | ©2021 Copyright tutti i diritti riservati","Via Marco Polo 190 - 55049 Viareggio (LU) - Tel: <a href=""tel:+49 8938037972"">+49 8938037972</a> - UID Nr. 02072180504 Geschäftsbereich E-Commerce<br>farmae.de | © 2021 Copyright Alle Rechte vorbehalten"
" from %1 to %2 of %3"," bis %1 von insgesamt %2 of %3"
"Next","Weiter"
"next","weiter"
"Previous","Zurück"
"previous","zurück"
"Write a review","Rezension schreiben"
"Code Minsan","Minsan Code"
"Codice Minsan","Minsan Code"
"Code Minsan:","Minsan Code:"
"Invite a friend","An einen freund senden über"
"Shipment","Lieferung"
"Product reviews","Produktreviews"
"Related Products","Zubehör",module,Magento_Catalog
"Complete the Order","Bestellung Aufgeben"
"Complete order","Bestellung Aufgeben"
"Hai già un account Farmaè?","Haben Sie bereits ein Konto bei Farmaè?"
"ACCEDI","Login"
"Spedisci a questo indirizzo","Versand an diese Adresse"
"Inserisci un CAP valido","Bitte gib eine gültige Postleitzahl ein"
"Codice Fiscale (S.S.N.)","Kassendon"
"Fattura Elettronica","Firmenrechnung"
"Inserisci qui un commento, delle indicazioni o altro...","Fügen Sie hier einen Kommentar, einige Hinweise oder andere ..."
"Shipping Methods","Lieferungsart",module,Magento_Checkout
"Apply Discount","Anwenden"
"Apply Discount Code","Rabattcodes"
"Order Total","Gesamtbetrag"
"Place Order","Bestellung aufgeben"
"ico-sconto-specialprice.png","ico-sconto-specialprice-de.png"
"Please enter a valid email address (Ex: johndoe@domain.com).","Bitte geben Sie eine gültige E-Mail Adresse ein.",lib,web
"Enter a valid Zip/Postal Code","Geben Sie eine gültige Postleitzahl ein"
"Il mio indirizzo di fatturazione e di spedizione è lo stesso. ","An diese Adresse senden"
"Buy and earn %1 fidelity points","Kaufen und verdienen Sie %1 Treuepunkte"
"+ %1 fidelity points","+ %1 Treuepunkte"
"You earned ","Sie haben "
"points ","Punkte "
"für die Registrierung und","per la registrazione e "
"für das Abonnieren des Newsletters gesammelt","per l'iscrizione alla newsletter"
"für die Registrierung","per la registrazione"
"Send to a friend via","An einen Freund senden per"
"Immediate availability","Sofortige Verfügbarkeit"
"Shipments","Sendungen"
"Payments","Zahlungen"
"Description and Method of Use","Beschreibung und Verwendungsweise"
"Product Sales","Produktverkäufe"
"My Account","Mein Konto"
"Welcome to your personal area","Willkommen in Ihrem persönlichen Bereich"
"Hello","Hallo"
"Badge Site Verification","Badge-Site-Überprüfung"
"Badge No Prescription","Abzeichen kein Rezept"
"Back in Stock Subscriptions","Abonnements wieder auf Lager"
"Billing Agreements","PayPal-Zahlungen",module,Magento_Paypal
