"Insert your email","Inserisci la tua email"
"Enter the password associated with your account","Inserisci la password associata al tuo account"
"Have you forgotten your password or username?","Hai dimenticato la password o il tuo username?"
"Not registered yet?","Non sei ancora registrato?"
"Create an Account","Crea un Account"
"My profile","Il mio profilo"
"My orders","I miei ordini"
"Make a return","Effettua un reso"
"Help and contacts","Aiuto e contatti"
"Out Of Stock","Non disponibile"
"Buy","Acquista"
"Special Price","Prezzo Amicafarmacia",module,Magento_Wishlist
"Regular Price","Prezzo al pubblico",module,Magento_Wishlist
"Invite a friend","Invia ad un amico tramite"
"Nickname","Nome Utente"
"Summary","Titolo della tua recensione"
"How do you rate our service?","Come consideri il servizio avuto?"
"Add your review","Scrivi la tua recensione"
"Submit Review","Invia la tua recensione",module,Magento_Review
" from %1 to %2 of %3"," da %1 a %2 di %3",module,Magento_Catalog
'from %1 to %2 of %3','da %1 a %2 di %3'
"Shopping Options","Opzioni acquisto"
"Now Shopping by","Hai selezionato"
"Related Products","Prodotti associati",module,Magento_Catalog
"Check items to add to the cart or","Spunta i prodotti da aggiungere al carrello o",module,Magento_Catalog
"Buy","Acquista"
"Add to Wish List","Aggiungi alla tua wishlist",module,Magento_MultipleWishlist
"add to cart","aggiungi al carrello"
"and","e"
"Products Number: %1","Numero Prodotti: %1"
"Unity Price","Prezzo Unitario"
"Shopping Cart","Il tuo carrello",module,Magento_Checkout
"Remove","Rimuovi"
"Qty","Qtà"
"Estimate Shipping and Tax","Stima spedizione e iva",module,Magento_Checkout
"Apply Discount Code","Codice Promozionale",module,Magento_Checkout
"Enter discount code","Inserisci il codice sconto",module,Magento_Checkout
"Apply Discount","Applica",module,Magento_Checkout
"Articles","Articoli"
"Complete the Order","Concludi l'Ordine"
"Day","Giorni"
"Who is Farmaè","Chi é Farmaè"
"Where we are","Dove siamo"
"Work with us","Lavora con noi"
"Customer Service","Servizio Clienti",theme,frontend/Magento/luma
"Warranty Farmaè","Garanzia Farmaè"
"Secure Payment","Pagamenti Sicuri"
"Returns and Privacy","Recesso e privacy"
"Sales Conditions","Condizioni di vendita"
"Brands A-Z","Marchi A-Z"
"Shopping guide","Guida all'acquisto"
"Availability","Disponibilità",module,Magento_Wishlist
"We found other products you might like!","Scelti per te",module,Magento_Catalog
"%-D Day%!D %H:%M:%S","%-D Giorni%!D %H:%M:%S"
"Login","Accedi"
"You have no items in your shopping cart.","Non hai articoli nel carrello."
"Navigation Guide","Guida alla navigazione"
"Contact us","Contattaci"
"Secure Payments","Pagamenti Sicuri"
"Fast delivery","Spedizioni Rapide"
"Proceed to Checkout","CHECKOUT"
"Enter your destination to get a shipping estimate.","Inserisci la destinazione per avere una stima di spedizione."
"Insert your email address","Inserisci il tuo indirizzo email"
"Send","Invia"
" of ", " di "
"next","prossimo"
"previous","precedente"
"Hot Searches","Ricerche Popolari"
"Day%!D ","Giorni"
"Days ","Giorni"
"Days","Giorni"
"Hour%!H","Ore"
"Hours","Ore"
"Minute%!M","Minuti"
"Minutes","Minuti"
"Second%!S","Secondi"
"Seconds","Secondi"
"Access information","Informazioni d’accesso"
"It's a pleasure to see you again","È un piacere rivederti"
"Customer Login","È un piacere rivederti"
"Login cliente","È un piacere rivederti"
"We remind you that registration is simple and free.","Ti ricordiamo che la registrazione è semplice e gratuita."
"BENEFITS FOR USERS OF AMICAFARMACIA","VANTAGGI PER GLI UTENTI DI AMICAFARMACIA"
"- Fast checkout","- Checkout veloce"
"If you don't have an account, check your order here:","Se non possiedi un account, controlla il tuo ordine qui:"
"Not registered","Non registrato"
"View order","Visualizza ordine"
"- Save multiple shipping addresses","- Salvare indirizzi di spedizione multipli"
"- See and track your orders and more","- Vedere e tracciare i tuoi ordini e altro ancora"
"Write your email here","Scrivi qui la tua email"
"Write your password here","Scrivi qui la tua password"
"Confirm your password here","Conferma qui la tua password"
"Perform Vocal Search","Esegui la ricerca vocale"
"Unable to recognise that phrase. Please try again.","Non é stato possibile riconoscere la frase. Tenta di nuovo"
"Unable to start voice search. Please check your browser permissions and allow this website to use the microphone.","Impossibile iniziare la ricerca vocale. Controlla i permessi del tuo browser e abilita questo sito web all'utilizzo del microfono."
"Unfortunately, your language is not supported by speech to text services at this time.","Sfortunatamente al momento la tua lingua non é supportata dal servizio Speech to Text."
"Voice capture has been aborted.","La registrzione vocale é stata interrotta."
"Voice capture has failed.","La registrazione vocale é fallita."
"Network connectivity is required for voice input.","La ricerca volare richiede una connessione attiva."
"An error has occurred with the speech to text services.","Si é verificato un errore con il servizio Speech to Text"
"Show all %1 results →","Mostra tutti i %1 risultati →"
"Sorry, nothing has been found for '%1'.","Non è stato trovato nulla per '%1'"
"1 star","1 stella"
"2 stars","2 stelle"
"3 stars","3 stelle"
"4 stars","4 stelle"
"5 stars","5 stelle"
"Product reviews","Recensioni prodotto"
"Qty:","Qtà:"
"Write a review","Scrivi una recensione"
"New Customers","Nuovo Cliente"
"Your Email","La tua Email"
"Forgot Your Password?","Recupera password"
"Please enter your email address below to receive a password reset link.","Inserisci il tuo indirizzo email. Riceverai un link per creare una nuova password."
"Email address","Indirizzo email"
"Go to login","Vai al Log in"
"Your Email","La Tua Email"
"Register","Registrati"
"Quantity","Quantità"
"Add other products","Aggiungi altri prodotti"
"Order Total","Importo totale"
"Wishlist","Wishlist"
"General Subscription","Autorizzazione al trattamento dei dati per scopi di profilazione e di marketing e per l'iscrizione alla newsletter"
"Thank you, ","Grazie, "
"Something went wrong with reCAPTCHA. Please contact the store owner.","Qualcosa con il reCAPTCHA é andato storto. Per favore conttata il proprietario del negozio."
"Service reviews","Recensioni servizio"
"All Brands","Tutti i brand"
"Code Minsan","Codice Minsan"
"Code","Codice"
"Tax","IVA",module,Magento_Tax
"Billing Address","Dati Anagrafici"
"Comment","Commento"
"Lastname","Cognome"
"Country","Paese"
"Know Us","Come ci hai scoperto"
"Interest Area","Area di interesse"
"Reference","Referenze"
"More about","Varie ed eventuali"
"Administration","Amministrazione"
"Sales","Vendite"
"Customer Care","Assistenza Clienti"
"Management","Direzione"
"Logistic","Logistica"
"Search is disabled in this page.","La ricerca è disabilitata in questa pagina."
"Card Verification Number","CVV"
